state,hc_type,tb_child_notifs
Andaman & Nicobar Islands,public,18
Andaman & Nicobar Islands,private,1
Andhra Pradesh,public,1347
Andhra Pradesh,private,1333
ArunachalPradesh,public,256
ArunachalPradesh,private,19
Assam,public,992
Assam,private,433
Bihar,public,4434
Bihar,private,10778
Chandigarh,public,496
Chandigarh,private,18
Chhattisgarh,public,935
Chhattisgarh,private,974
Dadra and Nagar Haveli and Daman and Diu,public,76
Dadra and Nagar Haveli and Daman and Diu,private,8
Delhi,public,7867
Delhi,private,2258
Goa,public,37
Goa,private,13
Gujarat,public,3201
Gujarat,private,3972
Haryana,public,2596
Haryana,private,1477
Himachal Pradesh,public,468
Himachal Pradesh,private,50
Jammu and Kashmir,public,511
Jammu and Kashmir,private,89
Jharkhand,public,1299
Jharkhand,private,1478
Karnataka,public,1924
Karnataka,private,1690
kerala,public,480
kerala,private,409
Ladakh,public,8
Ladakh,private,0
Lakshadweep,public,1
Lakshadweep,private,0
Madhya Pradesh,public,9212
Madhya Pradesh,private,5450
Maharashtra,public,6280
Maharashtra,private,6626
Manipur,public,61
Manipur,private,24
Meghalaya,public,197
Meghalaya,private,113
Mizoram,public,123
Mizoram,private,23
Nagaland,public,169
Nagaland,private,32
Odisha,public,1694
Odisha,private,584
Pondicherry,public,101
Pondicherry,private,6
Punjab,public,2121
Punjab,private,680
Rajasthan,public,4723
Rajasthan,private,3700
Sikkim,public,42
Sikkim,private,8
Tamil Nadu,public,1765
Tamil Nadu,private,1651
Telangana,public,1344
Telangana,private,675
Tripura,public,50
Tripura,private,3
Uttar Pradesh,public,17873
Uttar Pradesh,private,14402
Uttarakhand,public,998
Uttarakhand,private,359
West Bengal,public,1895
West Bengal,private,991
