Continent,Country,Year,Sex,NewHIVCases
Western Pacific,Viet Nam,2022,Female,1200 [1000 – 1400]
Western Pacific,Viet Nam,2021,Female,1300 [1200 – 1500]
Western Pacific,Viet Nam,2020,Female,1500 [1300 – 1700]
Western Pacific,Viet Nam,2019,Female,1800 [1600 – 2000]
Western Pacific,Viet Nam,2018,Female,2100 [1900 – 2300]
Western Pacific,Viet Nam,2017,Female,2400 [2100 – 2700]
Western Pacific,Viet Nam,2016,Female,2800 [2400 – 3000]
Western Pacific,Viet Nam,2015,Female,3100 [2700 – 3400]
Western Pacific,Viet Nam,2014,Female,3500 [3000 – 3800]
Western Pacific,Viet Nam,2013,Female,3800 [3400 – 4400]
Western Pacific,Viet Nam,2012,Female,4100 [3600 – 4700]
Western Pacific,Viet Nam,2011,Female,4400 [3800 – 5000]
Western Pacific,Viet Nam,2010,Female,4600 [4000 – 5200]
Western Pacific,Viet Nam,2009,Female,5000 [4300 – 5600]
Western Pacific,Viet Nam,2008,Female,5400 [4700 – 6100]
Western Pacific,Viet Nam,2007,Female,5800 [5100 – 6600]
Western Pacific,Viet Nam,2006,Female,6100 [5300 – 7000]
Western Pacific,Viet Nam,2005,Female,6400 [5700 – 7300]
Western Pacific,Viet Nam,2004,Female,6500 [5600 – 7400]
Western Pacific,Viet Nam,2003,Female,6500 [5700 – 7400]
Western Pacific,Viet Nam,2002,Female,6300 [5500 – 7400]
Western Pacific,Viet Nam,2001,Female,6000 [5200 – 7000]
Western Pacific,Viet Nam,2000,Female,5700 [4900 – 6500]
Western Pacific,Viet Nam,1999,Female,5200 [4500 – 6000]
Western Pacific,Viet Nam,1998,Female,4800 [4100 – 5600]
Western Pacific,Viet Nam,1997,Female,4200 [3600 – 4800]
Western Pacific,Viet Nam,1996,Female,3500 [2900 – 4100]
Western Pacific,Viet Nam,1995,Female,2700 [2300 – 3200]
Western Pacific,Viet Nam,1994,Female,1900 [1600 – 2200]
Western Pacific,Viet Nam,1993,Female,1200 [970 – 1400]
Western Pacific,Viet Nam,1992,Female,650 [530 – 780]
Western Pacific,Viet Nam,1991,Female,<500 [<500 – <500]
Western Pacific,Viet Nam,1990,Female,<200 [<200 – <200]
