"Etat","systeme_sante","covid_test","covid_diagnositque"
"Iles Andaman et Nicobar","public",322,0
"Iles Andaman et Nicobar","privé",1,0
"Andhra Pradesh","public",63319,97
"Andhra Pradesh","privé",26410,17
"ArunachalPradesh","public",1761,0
"ArunachalPradesh","privé",3,0
"Assam","public",22499,31
"Assam","privé",3716,16
"Bihar","public",45627,78
"Bihar","privé",17720,53
"Chandigarh","public",3487,8
"Chandigarh","privé",46,0
"Chhattisgarh","public",20452,57
"Chhattisgarh","privé",5643,8
"Dadra & Nagar Haveli & Daman & Diu","public",422,1
"Dadra & Nagar Haveli & Daman & Diu","privé",48,0
"Delhi","public",43512,44
"Delhi","privé",1605,5
"Goa","public",964,12
"Goa","privé",35,0
"Gujarat","public",86416,105
"Gujarat","privé",30358,19
"Haryana","public",45765,44
"Haryana","privé",11075,9
"Himachal Pradesh","public",9065,42
"Himachal Pradesh","privé",301,1
"Jammu-et-Cachemire","public",10426,9
"Jammu-et-Cachemire","privé",530,1
"Jharkhand","public",35654,40
"Jharkhand","privé",3868,14
"Karnataka","public",51965,162
"Karnataka","privé",7969,17
"Kerala","public",14362,322
"Kerala","privé",1989,37
"Ladakh","public",171,0
"Ladakh","privé",9,0
"Lakshadweep","public",21,0
"Lakshadweep","privé",0,0
"Madhya Pradesh","public",52518,146
"Madhya Pradesh","privé",10195,26
"Maharashtra","public",114596,322
"Maharashtra","privé",48387,73
"Manipur","public",1119,4
"Manipur","privé",108,0
"Meghalaya","public",1500,3
"Meghalaya","privé",90,0
"Mizoram","public",1929,3
"Mizoram","privé",20,0
"Nagaland","public",1240,1
"Nagaland","privé",11,0
"Odisha","public",47179,85
"Odisha","privé",3537,2
"Pondichéry","public",1136,16
"Pondichéry","privé",1,0
"Punjab","public",31953,45
"Punjab","privé",4925,7
"Rajasthan","public",68014,71
"Rajasthan","privé",18509,12
"Sikkim","public",544,4
"Sikkim","privé",18,0
"tamil nadu","public",66452,178
"tamil nadu","privé",9411,18
"Telangana","public",50592,53
"Telangana","privé",17082,45
"Tri pura","public",1511,2
"Tri pura","privé",8,0
"Uttar Pradesh","public",289144,191
"Uttar Pradesh","privé",49701,20
"Uttarakhand","public",19405,43
"Uttarakhand","privé",3632,4
"Bengale-Occidentale","public",74830,214
"Bengale-Occidentale","privé",5588,29
