"Etat","systeme_sante","enfant_notifie","enfant_traitement"
"Iles Andaman et Nicobar","public",18,19
"Iles Andaman et Nicobar","privé",1,0
"Andhra Pradesh","public",1347,1684
"Andhra Pradesh","privé",1333,993
"Arunachal Pradesh","public",256,282
"Arunachal Pradesh","privé",19,1
"Assam ","public",992,1161
"Assam ","privé",433,173
"Bihar","public",4434,4072
"Bihar","privé",10778,11002
"Chandigarh","public",496,260
"Chandigarh","privé",18,3
"Chhattisgarh","public",935,1136
"Chhattisgarh","privé",974,752
"Dadra et Nagar Haveli et Daman et Diu","public",76,52
"Dadra et Nagar Haveli et Daman et Diu","privé",8,7
"Delhi","public",7867,7419
"Delhi","privé",2258,730
"Goa","public",37,42
"Goa","privé",13,8
"Gujarat","public",3201,3874
"Gujarat","privé",3972,2947
"Haryana","public",2596,3053
"Haryana","privé",1477,998
"Himachal Pradesh","public",468,498
"Himachal Pradesh","privé",50,13
"Jammu and Kashmir","public",511,543
"Jammu and Kashmir","privé",89,28
"Jharkhand","public",1299,1489
"Jharkhand","privé",1478,1279
"Karnataka","public",1924,2421
"Karnataka","privé",1690,1015
"kerala","public",480,707
"kerala","privé",409,148
"Ladakh","public",8,8
"Ladakh","privé",0,0
"Lakshadweep","public",1,1
"Lakshadweep","privé",0,0
"Madhya Pradesh","public",9212,10220
"Madhya Pradesh","privé",5450,4255
"Maharashtra","public",6280,7368
"Maharashtra","privé",6626,4898
"Manipur","public",61,69
"Manipur","privé",24,4
"Meghalaya","public",197,219
"Meghalaya","privé",113,59
"Mizoram","public",123,143
"Mizoram","privé",23,1
"Nagaland","public",169,186
"Nagaland","privé",32,12
"Odisha","public",1694,1877
"Odisha","privé",584,323
"Pondicherry","public",101,47
"Pondicherry","privé",6,NA
"Punjab","public",2121,2367
"Punjab","privé",680,422
"Rajasthan","public",4723,4908
"Rajasthan","privé",3700,3166
"Sikkim","public",42,44
"Sikkim","privé",8,3
"Tamil Nadu","public",1765,1996
"Tamil Nadu","privé",1651,1375
"Telangana","public",1344,1513
"Telangana","privé",675,484
"Tripura","public",50,55
"Tripura","privé",3,1
"Uttar Pradesh","public",17873,20751
"Uttar Pradesh","privé",14402,10957
"Uttarakhand","public",998,1061
"Uttarakhand","privé",359,233
"Bengale-Occidentale","public",1895,2557
"Bengale-Occidentale","privé",991,194
