"Etat","systeme_sante","cible_notifiee","notifiee_relle"
"Iles Andaman et Nicobar","public",520,510
"Iles Andaman et Nicobar","privé",10,24
"Andhra Pradesh","public",85000,62075
"Andhra Pradesh","privé",30000,30112
"Arunachal Pradesh","public",3450,2722
"Arunachal Pradesh","privé",50,141
"Assam","public",50200,36801
"Assam","privé",10800,11021
"Bihar","public",80000,79008
"Bihar","privé",120000,82157
"Chandigarh","public",6450,5664
"Chandigarh","privé",750,402
"Chhattisgarh","public",37000,26801
"Chhattisgarh","privé",18000,11720
"Dadra et Nagar Haveli et Daman et Diu","public",980,1294
"Dadra et Nagar Haveli et Daman et Diu","privé",120,105
"Delhi","public",70000,76966
"Delhi","privé",30000,29765
"Goa","public",1850,1614
"Goa","privé",550,477
"Gujarat","public",90000,100949
"Gujarat","privé",60000,50963
"Haryana","public",60000,51231
"Haryana","privé",34000,24607
"Himachal Pradesh","public",15000,14457
"Himachal Pradesh","privé",1500,1632
"Jammu-et-Cachemire","public",12100,10022
"Jammu-et-Cachemire","privé",2400,1782
"Jharkhand","public",46700,43683
"Jharkhand","privé",23300,13637
"Karnataka","public",65000,59510
"Karnataka","privé",35000,20906
"Kerala","public",18000,16766
"Kerala","privé",6000,6622
"Ladakh","public",340,311
"Ladakh","privé",10,9
"Lakshadweep","public",20,11
"Lakshadweep","privé",0,0
"Madhya Pradesh","public",150550,130830
"Madhya Pradesh","privé",94450,55463
"Maharashtra","public",155000,132531
"Maharashtra","privé",115000,101574
"Manipur","public",2000,1634
"Manipur","privé",1000,920
"Meghalaya","public",5000,4063
"Meghalaya","privé",1000,926
"Mizoram","public",2550,1697
"Mizoram","privé",450,388
"Nagaland","public",4250,3360
"Nagaland","privé",750,765
"Odisha","public",55000,50393
"Odisha","privé",10000,9979
"Pondichéry","public",4800,3732
"Pondichéry","privé",100,103
"Punjab","public",55000,43344
"Punjab","privé",15000,11806
"Rajasthan","public",117000,126675
"Rajasthan","privé",63000,42847
"Sikkim","public",1380,1286
"Sikkim","privé",120,109
"Tamil Nadu","public",88600,71896
"Tamil Nadu","privé",31400,21983
"Telangana","public",56000,52304
"Telangana","privé",24000,20637
"Tripura","public",3260,2865
"Tripura","privé",240,159
"Uttar Pradesh","public",364000,373262
"Uttar Pradesh","privé",186000,149588
"Uttarakhand","public",19600,21215
"Uttarakhand","privé",8400,6338
"Bengale-Occidentale","public",101660,76945
"Bengale-Occidentale","privé",28340,24027
