"conseil_zonal","sous_division","Etat"
"Pas de Conseil Zonal","Territoire de l'Union","Iles Andaman et Nicobar"
"Conseil du Nord-Est","État","Arunachal Pradesh"
"Conseil du Nord-Est","État","Assam"
"Conseil Zonal de l'Est","État","Bihar"
"Conseil Zonal du Nord","Territoire de l'Union","Chandigarh"
"Conseil Zonal de l'Ouest","Territoire de l'Union","Dadra et Nagar Haveli et Daman et Diu"
"Conseil du Nord","Territoire de l'Union","Delhi"
"Conseil Zonal de l'Ouest","État","Goa"
"Conseil Zonal de l'Ouest","État","Gujarat"
"Conseil du Nord","État","Haryana"
"Conseil du Nord","État","Himachal Pradesh"
"Conseil du Nord","Territoire de l'Union","Jammu-et-Cachemire"
"Conseil Zonal de l'Est","État","Jharkhand"
"Conseil Zonal du Sud","État","Karnataka"
"Conseil Zonal du Sud","État","Kerala"
"Pas de Conseil Zonal","Territoire de l'Union","Lakshadweep"
"Conseil Zonal Central","État","Madhya Pradesh"
"Conseil Zonal de l'Ouest","État","Maharashtra"
"Conseil du Nord-Est","État","Manipur"
"Conseil du Nord-Est","État","Meghalaya"
"Conseil du Nord-Est","État","Mizoram"
"Conseil du Nord-Est","État","Nagaland"
"Conseil Zonal de l'Est","État","Odisha"
"Pas de Conseil Zonal","Territoire de l'Union","Pondichéry"
"Conseil du Nord","État","Punjab"
"Conseil du Nord","État","Rajasthan"
"Conseil du Nord-Est","État","Sikkim"
"Conseil Zonal du Sud","État","Telangana"
"Conseil du Nord-Est","État","Tripura"
"Conseil Zonal Central","État","Uttarakhand"
"Conseil Zonal Central","État","Uttar Pradesh"
"Conseil Zonal de l'Est","État","Bengale-Occidentale"
